1.065910020396279467e+00 -1.468059175500076308e-01 7.142444569322380088e-02 1.427901014713094975e-02 1.153824765221095117e+00 -2.451719716268447868e-01 -1.628501192923930418e-01 1.964022601288492598e-01 1.173632056714473126e+00
1.064955750412831748e+00 1.449924668102369266e-02 -1.628770241207517233e-01 -1.462758150819617464e-01 1.155803462400613268e+00 1.966769380372770104e-01 7.152213157841784408e-02 -2.455801725135187408e-01 1.173632049473106953e+00
7.018313188272051306e+00 3.413766261028258198e-01 -8.798452001023677749e-01 -7.202758182013041521e-01 7.294134476039566550e+00 1.376670600737317951e+00 6.270948138554454099e-01 -1.502954030784345640e+00 7.350978270201455445e+00
7.018604926969780777e+00 -7.050855344246793610e-01 6.459520640630794786e-01 3.229862500499757760e-01 7.299131752979469923e+00 -1.500698671533139184e+00 -8.959056135669918319e-01 1.369140918692829612e+00 7.350978268533944870e+00
-3.182266722825699112e+00 -1.082956978906840284e+00 1.584424233600354670e+00 -1.026075364528309608e+00 -2.297701175711765575e+00 1.038644883735476476e+00 1.599103966925164544e+00 1.115199658977286346e+00 -2.898347585423567629e+00
-1.415090098249645489e+00 -7.223049041376836121e-02 -2.407582412166034413e-02 -1.171893524043324530e-01 -3.854078477545983539e+00 -1.895012108692081920e+00 -6.788934746401424636e-02 -1.798755457936855207e+00 -3.101275183687576487e+00
-3.557676420121157257e+00 1.349402934053621328e+00 -1.338285982760823112e+00 1.400274014311771342e+00 -2.289857872166598973e+00 8.354384053214835015e-01 -1.427191272044615822e+00 8.641304045067034201e-01 -2.523793093114084840e+00
-1.414954290703021256e+00 -4.832262322239752605e-02 -5.927795682897332025e-02 -1.021071080044713142e-01 -4.440942338505955433e+00 -1.576531961060790188e+00 -8.245633216885600580e-02 -1.671788671801405446e+00 -2.523793030027114970e+00
-3.557770709667016362e+00 -7.689814173836740929e-01 1.748709687091462683e+00 -8.276912684737339765e-01 -1.928514631431671233e+00 7.288330084963965394e-01 1.820204940126194382e+00 6.982456623911902360e-01 -2.898347399249685985e+00
-3.185194138173503831e+00 1.095668070289674834e+00 -1.582168796223474061e+00 1.125273508341789519e+00 -2.104562216853651524e+00 1.043260849534652035e+00 -1.533838017000788811e+00 9.657505186482582271e-01 -3.101275187575589065e+00
