atom,name,delta,Zxx,Zxy,Zxz,Zyx,Zyy,Zyz,Zzx,Zzy,Zzz
0,Li,0.5,1.1426579551555842,-0.22103815358661047,9.898965643038014e-05,0.22759791876368257,1.1748324550604927,-5.758314257404495e-05,8.331694134056778e-05,0.006335616948967813,0.9802785015730472
0,Li,-0.5,1.1836156721826254,-0.26012472564992306,-2.1139473566643404e-05,0.2544748594505292,1.1495694907644556,0.00010060994015191556,-0.01633429972850638,-0.010105609797695836,1.0513833759551856
0,Li,0.1,1.183500892111165,-0.2570137296028209,0.00047209269572840655,0.2593540274095665,1.1915566279237668,0.00011298077946213818,0.0024798225582602306,0.002198744147802271,1.00740158708347
0,Li,-0.1,1.1935848314052062,-0.26695325054531,0.000426146178578583,0.26481872863742606,1.1859595048720808,0.00040206393609293654,-0.0020397934147812625,-0.0022734732900217616,1.0211644907933377
1,Li,0.5,1.1836156792557864,0.22103814791822984,-9.899705766068821e-05,-0.254474872192071,1.1748324550604927,-5.7556500010297695e-05,0.016334286986965017,0.006335591465884376,0.9802785015730472
1,Li,-0.5,1.1426579735655067,0.2601246930936785,2.113576417256712e-05,-0.22759791876368257,1.1495694780229138,0.00010062851731975123,-8.33296828826399e-05,-0.01010563528077998,1.0513833759551856
1,Li,0.1,1.1935848667710118,0.25701370126091777,-0.0004720987399335547,-0.26481872863742606,1.1915566279237668,0.00011300638996100707,0.0020397297070744386,0.0021986804400954472,1.00740158708347
1,Li,-0.1,1.1835008567453593,0.2669532788872131,-0.00042615153805327884,-0.2593540274095665,1.1859595048720808,0.00040208744423741533,-0.0024798225582602306,-0.0022734732900217616,1.0211644907933377
2,Nb,0.5,1.716315011317558,1.3668734896510948,-0.00019156942942769565,1.4199284968551364,1.0056056813791145,-0.0007388591845417034,8.715284835105816,8.690637889848096,5.323988890562001
2,Nb,-0.5,-3.4287645984730557,-3.7347821559645333,-0.00021462158122081837,-1.2444814299189446,-2.1636096923796497,-0.00105770803517827,0.5412479891683603,0.49428857844472357,8.532626628922554
